isin,nav,nav_date
INF251K01HB2,10.8123,05-Aug-2025
-,10.0085,05-Aug-2025
-,10.0101,05-Aug-2025
INF251K01DW7,45.906,05-Aug-2025
INF251K01ED5,10.4356,05-Aug-2025
INF251K01DZ0,10.3749,05-Aug-2025
INF251K01EB9,10.3898,05-Aug-2025
-,9.9911,05-Aug-2025
INF251K01EF0,32.3277,05-Aug-2025
INF760K01EC7,32.4876,05-Aug-2025
INF760K01EA1,15.4199,05-Aug-2025
INF760K01449,29.4218,05-Aug-2025
INF760K01423,13.8063,05-Aug-2025
INF740K01QG4,3608.4425,05-Aug-2025
INF740K01QI0,2458.524,05-Aug-2025
INF740K01QH2,1066.3313,05-Aug-2025
INF740K01GK7,3384.0011,05-Aug-2025
INF740K01GO9,1252.1591,05-Aug-2025
-,1053.9361,05-Aug-2025
INF740K01GM3,1055.5017,05-Aug-2025
INF740K01GQ4,1041.7277,05-Aug-2025
INF090I01WD3,0.0,05-Aug-2025
INF090I01WB7,0.0,05-Aug-2025
INF090I01WA9,0.0,05-Aug-2025
INF090I01WC5,0.0,05-Aug-2025
INF666M01EK5,1533.6055,05-Aug-2025
INF666M01ES8,1468.3955,05-Aug-2025
-,1010.5269,05-Aug-2025
INF666M01EO7,1012.9985,05-Aug-2025
INF666M01EQ2,1003.9775,05-Aug-2025
INF666M01EM1,1010.061,05-Aug-2025
-,1011.3568,05-Aug-2025
INF666M01EW0,1008.7406,05-Aug-2025
INF666M01EY6,1003.0824,05-Aug-2025
INF666M01EU4,1008.566,05-Aug-2025
INF179K01848,90.0391,05-Aug-2025
INF179K01WB4,99.4557,05-Aug-2025
INF179K01WC2,13.9784,05-Aug-2025
INF179K01855,11.974,05-Aug-2025
INF179KA1Q95,20.941,05-Aug-2025
INF179KA1R11,19.2897,05-Aug-2025
INF179K01WE8,14.1461,05-Aug-2025
INF179K01871,12.695,05-Aug-2025
INF179K01WG3,15.3069,05-Aug-2025
INF179K01921,13.7567,05-Aug-2025
INF917K01VN4,11.3151,05-Aug-2025
INF917K01HA0,32.3076,05-Aug-2025
INF917K01GZ9,12.6399,05-Aug-2025
INF917K01VP9,10.651,05-Aug-2025
INF677K01916,29.8089,05-Aug-2025
INF677K01924,10.6022,05-Aug-2025
INF109K01GO7,11.7925,05-Aug-2025
INF109K012E4,11.8307,05-Aug-2025
INF109K016E5,40.3052,05-Aug-2025
INF109K014E0,26.1552,05-Aug-2025
INF109K017E3,11.9738,05-Aug-2025
INF109K019E9,10.5486,05-Aug-2025
INF109K01GN9,37.287,05-Aug-2025
INF109K01GK5,23.1871,05-Aug-2025
INF109K01GE8,11.6857,05-Aug-2025
INF109K01FD2,10.9626,05-Aug-2025
INF00XX01BK7,13.19,05-Aug-2025
INF00XX01BC4,13.1902,05-Aug-2025
INF00XX01BJ9,10.9624,05-Aug-2025
INF00XX01BH3,10.1287,05-Aug-2025
INF00XX01BI1,13.2148,05-Aug-2025
INF00XX01BB6,12.6345,05-Aug-2025
INF00XX01AT0,12.6341,05-Aug-2025
INF00XX01BA8,12.6367,05-Aug-2025
INF00XX01AY0,9.9821,05-Aug-2025
INF00XX01AZ7,12.6362,05-Aug-2025
-,10.1063,05-Aug-2025
INF192K01DB7,45.0923,05-Aug-2025
INF192K01IL5,45.4393,05-Aug-2025
-,10.5431,05-Aug-2025
INF192K01EX9,40.0725,27-Jan-2025
-,10.0517,05-Aug-2025
INF192K01700,42.0248,05-Aug-2025
INF192K01IN1,40.4031,27-Jan-2025
INF192K01684,42.1567,05-Aug-2025
INF192K01IJ9,42.3567,05-Aug-2025
-,10.5264,05-Aug-2025
INF192K01EZ4,42.4963,27-Jan-2025
INF192K01DD3,44.8513,05-Aug-2025
INF192K01IP6,42.9228,27-Jan-2025
INF174K01JX6,14.4327,05-Aug-2025
INF174K01JU2,41.124,05-Aug-2025
INF174K01IY6,14.1926,05-Aug-2025
INF174K01FA2,37.6716,05-Aug-2025
INF174V01580,15.5696,05-Aug-2025
INF174V01606,12.5576,05-Aug-2025
INF174V01622,11.3807,05-Aug-2025
INF174V01531,14.4012,05-Aug-2025
INF174V01556,11.4596,05-Aug-2025
INF174V01572,10.3567,05-Aug-2025
INF769K01DR8,17.841,05-Aug-2025
INF769K01DS6,17.8254,05-Aug-2025
INF769K01DP2,16.3059,05-Aug-2025
INF769K01DO5,16.3055,05-Aug-2025
INF204K01A33,29.1907,05-Aug-2025
INF204K01A58,10.4374,05-Aug-2025
INF204K01A25,40.4036,05-Aug-2025
INF204K01FJ8,25.3221,05-Aug-2025
INF204K01XB8,10.3368,05-Aug-2025
INF204K01FI0,37.6469,05-Aug-2025
INF663L01AD7,3009.1053,05-Aug-2025
INF663L01AI6,1200.9188,05-Aug-2025
INF663L01526,1083.3374,05-Aug-2025
INF663L01484,2645.7553,05-Aug-2025
INF082J01176,21.9692,05-Aug-2025
INF082J01184,10.4617,05-Aug-2025
INF082J01218,21.6125,05-Aug-2025
INF082J01226,10.5239,05-Aug-2025
INF200K01RD4,39.3008,05-Aug-2025
INF200K01RB8,21.9519,05-Aug-2025
